Période,imported,Taille (GB),Essai 1,Essai 2,Essai 3,Essai 4,Essai 5,Essai 6,Essai 7,Essai 8,Essai 9,Essai 10,min,max,median,mean,mean (min),
07/02/18,494158,1,752.03,750,755.24,751.21,756.53,752.34,753.02,748.92,753,,748.92,756.53,752.34,752.476666666667,12.5412777777778,cat 2018-02-07_00-00-00_msmId5004.json |  mongoimport --db atlas --collection traceroute_2018_02_07
07/02/2018 – 08/02/2018,,2,1499.28,1504.98,1503.62,1495.48,1497.27,1509.66,1495.15,1501.56,1504.88,,1495.15,1509.66,1501.56,1501.32,25.022,
07/02/2018 – 09/02/2018,,3,2275.89,2265.96,2284.98,,,,,,,,2265.96,2284.98,2275.89,2275.61,37.9268333333333,
07/02/2018 – 10/02/2018,,4,3035.19,3043.21,3057.45,,,,,,,,3035.19,3057.45,3043.21,3045.28333333333,50.7547222222222,
07/02/2018 – 11/02/2018,,5,3871,,,,,,,,,,3871,3871,3871,3871,64.5166666666667,
07/02/2018 – 12/02/2018,,,,,,,,,,,,,,,,,,
07/02/2018 – 13/02/2018,,,,,,,,,,,,,,,,,,
07/02/2018 – 14/02/2018,,,,,,,,,,,,,,,,,,
07/02/2018 – 15/02/2018,,,,,,,,,,,,,,,,,,
07/02/2018 – 16/02/2018,,,,,,,,,,,,,,,,,,
07/02/2018 – 17/02/2018,,,,,,,,,,,,,,,,,,
